src_name,src_if,dst_name,dst_if,speed
net002-lf-sw01,Ethernet9/7,net002-sx-sr12,eth100g0,100
net002-lf-sw01,Ethernet9/8,net002-sx-sr12,eth100g1,100
net002-lf-sw01,Ethernet42/1,net002-ax-sr01,eth400g0,400
net002-lf-sw01,Ethernet42/5,net002-ax-sr01,eth400g1,400
net002-lf-sw01,Ethernet46/1,net002-ax-sr02,eth400g0,400
net002-lf-sw01,Ethernet46/5,net002-ax-sr02,eth400g1,400
net002-lf-sw01,Ethernet50/1,net002-ax-sr03,eth400g0,400
net002-lf-sw01,Ethernet50/5,net002-ax-sr03,eth400g1,400
net002-lf-sw01,Ethernet54/1,net002-ax-sr04,eth400g0,400
net002-lf-sw01,Ethernet54/5,net002-ax-sr04,eth400g1,400
net002-lf-sw01,Ethernet58/1,net002-ax-sr05,eth400g0,400
net002-lf-sw01,Ethernet58/5,net002-ax-sr05,eth400g1,400
net002-lf-sw01,Ethernet62/1,net002-ax-sr06,eth400g0,400
net002-lf-sw01,Ethernet62/5,net002-ax-sr06,eth400g1,400
net002-lf-sw02,Ethernet2/1,net002-sx-sr13,eth400g0,400
net002-lf-sw02,Ethernet2/5,net002-sx-sr13,eth400g1,400
net002-lf-sw02,Ethernet6/1,net002-sx-sr14,eth400g0,400
net002-lf-sw02,Ethernet6/5,net002-sx-sr14,eth400g1,400
net002-lf-sw02,Ethernet10/1,net002-sx-sr15,eth400g0,400
net002-lf-sw02,Ethernet10/5,net002-sx-sr15,eth400g1,400
net002-lf-sw02,Ethernet14/1,net002-sx-sr16,eth400g0,400
net002-lf-sw02,Ethernet14/5,net002-sx-sr16,eth400g1,400
net002-lf-sw02,Ethernet18/1,net002-sx-sr17,eth400g0,400
net002-lf-sw02,Ethernet18/5,net002-sx-sr17,eth400g1,400
net002-lf-sw02,Ethernet22/1,net002-sx-sr18,eth400g0,400
net002-lf-sw02,Ethernet22/5,net002-sx-sr18,eth400g1,400
net002-lf-sw02,Ethernet26/1,net002-sx-sr19,eth400g0,400
net002-lf-sw02,Ethernet26/5,net002-sx-sr19,eth400g1,400
net002-lf-sw02,Ethernet30/1,net002-sx-sr20,eth400g0,400
net002-lf-sw02,Ethernet30/5,net002-sx-sr20,eth400g1,400
net002-lf-sw02,Ethernet34/1,net002-sx-sr21,eth400g0,400
net002-lf-sw02,Ethernet34/5,net002-sx-sr21,eth400g1,400
net002-lf-sw02,Ethernet38/1,net002-sx-sr22,eth400g0,400
net002-lf-sw02,Ethernet38/5,net002-sx-sr22,eth400g1,400
net002-lf-sw02,Ethernet1/1,net002-sx-sr13,eth100g0,100
net002-lf-sw02,Ethernet1/2,net002-sx-sr13,eth100g1,100
net002-lf-sw02,Ethernet1/3,net002-sx-sr14,eth100g0,100
net002-lf-sw02,Ethernet1/4,net002-sx-sr14,eth100g1,100
net002-lf-sw02,Ethernet1/5,net002-sx-sr15,eth100g0,100
net002-lf-sw02,Ethernet1/6,net002-sx-sr15,eth100g1,100
net002-lf-sw02,Ethernet1/7,net002-sx-sr16,eth100g0,100
net002-lf-sw02,Ethernet1/8,net002-sx-sr16,eth100g1,100
net002-lf-sw02,Ethernet5/1,net002-sx-sr17,eth100g0,100
net002-lf-sw02,Ethernet5/2,net002-sx-sr17,eth100g1,100
net002-lf-sw02,Ethernet5/3,net002-sx-sr18,eth100g0,100
net002-lf-sw02,Ethernet5/4,net002-sx-sr18,eth100g1,100
net002-lf-sw02,Ethernet5/5,net002-sx-sr19,eth100g0,100
net002-lf-sw02,Ethernet5/6,net002-sx-sr19,eth100g1,100
net002-lf-sw02,Ethernet5/7,net002-sx-sr20,eth100g0,100
net002-lf-sw02,Ethernet5/8,net002-sx-sr20,eth100g1,100
net002-lf-sw02,Ethernet9/1,net002-sx-sr21,eth100g0,100
net002-lf-sw02,Ethernet9/2,net002-sx-sr21,eth100g1,100
net002-lf-sw02,Ethernet9/3,net002-sx-sr22,eth100g0,100
net002-lf-sw02,Ethernet9/4,net002-sx-sr22,eth100g1,100
net002-lf-sw02,Ethernet9/5,net002-sx-sr23,eth100g0,100
net002-lf-sw02,Ethernet9/6,net002-sx-sr23,eth100g1,100
net002-lf-sw02,Ethernet9/7,net002-sx-sr24,eth100g0,100
net002-lf-sw02,Ethernet9/8,net002-sx-sr24,eth100g1,100
net002-lf-sw02,Ethernet42/1,net002-ax-sr07,eth400g0,400
net002-lf-sw02,Ethernet42/5,net002-ax-sr07,eth400g1,400
net002-lf-sw02,Ethernet46/1,net002-ax-sr08,eth400g0,400
